name,tMin,tMax,pMin,pMax,water,notes,imageUrl
Rice,20,32,1200,3000,high,"Lowland & irrigated systems, high humidity required",https://cdn.britannica.com/89/140889-050-EC3F00BF/Ripening-heads-rice-Oryza-sativa.jpg
Sugarcane,20,34,1100,3000,high,"Subtropical/Tropical crop, long growing season",https://www.netafimindia.com/bynder/689FFBA0-D431-4D9A-8BFB1805602316FC-sugarcane-with-driperline.jpg
Banana/Plantain,18,35,1000,3000,high,"Tropical fruit, sensitive to frost",https://sdzwildlifeexplorers.org/sites/default/files/2019-01/banana-tree.jpg
Maize (corn),15,32,400,1200,med,"Wide adaptation, thrives in warm conditions",https://agritech.tnau.ac.in/agriculture/maize-272894_1280.jpg
Soybean,12,30,500,1000,med,"Legume, sensitive to photoperiod",https://img.freepik.com/free-photo/soybean-isolated-white-background_74190-7801.jpg
Pigeon Pea,18,33,400,1200,low,"Drought-tolerant pulse, deep-rooted",https://www.protectourlivelihood.in/wp-content/uploads/2025/04/Image-Pulses.jpg
Chickpea,10,30,300,700,low,"Cool-season pulse, drought tolerant",https://www.protectourlivelihood.in/wp-content/uploads/2025/04/Image-Pulses.jpg
Cotton,18,35,400,1200,med,"Requires long, warm, frost-free period",https://t4.ftcdn.net/jpg/06/84/31/79/360_F_684317966_Pn9qU1DEfW5zpwoj25znJ1i0VdaOM2Px.jpg
Finger Millet,15,32,200,800,low,"Hardy, rainfed millet variety",https://milletbank.in/cdn/shop/articles/pexels-deep-malik-132129520-10738421.jpg
Pearl Millet,18,36,200,800,low,"Very drought and heat tolerant",https://milletbank.in/cdn/shop/articles/pexels-deep-malik-132129520-10738421.jpg
Sorghum,16,36,200,900,low,"Highly drought tolerant, versatile grain",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSqzAWYsN_9qvUlcw4UdPPpbyMjT-1I9SDOcg&s
Groundnut (peanut),18,32,400,1200,med,"Requires warm season and well-drained soil",https://www.zettafarms.com/wp-content/uploads/2024/01/blog-3.jpg
Wheat,6,20,300,900,med,"Cool-season crop (winter and spring varieties)",https://img.freepik.com/free-photo/green-spikelets-wheat-scatter-with-blurred-background_169016-36163.jpg?semt=ais_hybrid&w=740&q=80
Barley,6,22,250,700,low,"Hardy cereal, high salt tolerance",https://cdn.britannica.com/14/190514-004-88D43D14.jpg
Rapeseed/Canola,5,25,350,1000,med,"Oilseed crop, sensitive to moisture stress",https://media.post.rvohealth.io/wp-content/uploads/2019/10/rapeseed-oil-field-flower-732x549-thumbnail.jpg
Tea,13,25,1500,4000,high,"Requires high, well-distributed rainfall and humidity",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQN9aS0r8TeM5A-natvHRKfOGrwpf-LPrpRuQ&s
