Crop Name,Information,Scientific Name,Family Name,Major Global Producer,Typical Height (m),Yield (Tons/Hectare),Soil pH Range,Photosynthesis Type,Type,Soil Needed,Climate,Water Requirement,Optimal Temp. (°C),Fertilizer Needed,Harvest Time (Days),Planting Season,Harvest Method,Market Value,Common Pests,Disease Resistance,Image Description
Wheat,"The world's most widely grown cereal. Used primarily for flour (bread, pasta) and livestock feed. A cool-season (Rabi) crop that tolerates frost but requires a dry, warm harvest period. High in gluten protein (bread wheat).",Triticum aestivum,Poaceae (Grass),China/India,0.6 - 1.5,3.0 - 4.5,6.0 - 7.0,C3,Cereal,Loamy,Temperate,Moderate,15-25,Nitrogen (N) & Phosphorus (P),100-150,Autumn,Combine harvester,High,"Aphids, Hessian Fly, Cereal Leaf Beetle",Stem rust resistant,Golden field of ripening wheat stalks
Rice,The staple food for over half the world's population. Paddy rice requires flooded fields for weed control and specific soil conditions. It is a warm-season (Kharif) crop and a major source of global carbohydrates.,Oryza sativa,Poaceae (Grass),China/India,0.5 - 1.8,4.0 - 7.0,5.5 - 6.5,C3,Cereal,Clayey,Tropical/Subtropical,High,20-30,Nitrogen (High requirement),120-180,Summer,Manual/mechanical harvesting,High,"Rice Weevil, Rice Blast, Brown Planthopper",Bacterial blight tolerant,Lush green rice paddy fields
Tomato,"Botanically a fruit (berry), consumed as a vegetable. Requires warm, frost-free conditions and is often grown with stakes/cages. Rich in Vitamin C and Lycopene (antioxidant).",Solanum lycopersicum,Solanaceae (Nightshade),China,0.5 - 2.5,40 - 80,6.0 - 6.8,C3,Vegetable,Sandy loam,Tropical/Subtropical,Moderate,18-27,Organic Compost / NPK,70-100,Spring,Manual picking,Medium,"Whiteflies, Tomato Hornworm, Thrips",Fusarium wilt tolerant,Ripe red tomatoes hanging on the vine
Potato,"A starchy root tuber, one of the world's most important staple foods. Prefers cool weather for tuber development. Crop rotation and certified seed tubers are essential for disease control.",Solanum tuberosum,Solanaceae (Nightshade),China,0.5 - 1.0,20 - 50,5.0 - 6.0,C3,Vegetable,Loamy,Temperate,Moderate,16-22,Potassium (K) & Phosphorus (P),90-120,Spring,Mechanical or hand harvest,Medium,"Colorado Potato Beetle, Wireworms, Aphids",Blight resistant (Late Blight),Harvested potatoes of various colors on the ground
Maize (Corn),"A highly versatile cereal used for human food, animal feed, and ethanol production. Maize is a C4 plant, making it very efficient at using water and sunlight in warm climates.",Zea mays,Poaceae (Grass),USA,1.5 - 3.0,6.0 - 10.0,5.8 - 7.0,C4,Cereal,Loamy,Tropical/Subtropical,Moderate,18-27,NPK (High Nitrogen),90-120,Spring,Mechanical harvest,High,"Maize Stem Borer, Corn Earworm, Rootworm",Drought tolerant,A large corn field with mature yellow cobs
Carrot,"A root vegetable rich in Vitamin A and Beta-Carotene. Requires deep, loose, stone-free sandy loam to prevent root splitting or forking. Thinning seedlings is critical.",Daucus carota subsp. sativus,Apiaceae (Parsley),China,0.3 - 0.6,30 - 50,6.0 - 7.0,C3,Vegetable,Sandy loam,Temperate,Moderate,16-21,Compost / Balanced NPK,70-100,Spring/Autumn,Manual harvest,Medium,"Carrot Fly, Nematodes, Flea Beetles",Resistant varieties available,Bright orange carrots partially pulled from the soil
Cotton,The world's leading natural fiber crop. The white fluffy fiber (lint) is separated from the seeds (ginning). Seeds provide oil and meal for livestock feed.,Gossypium hirsutum/barbadense,Malvaceae (Mallow),China/India,0.5 - 2.0,0.5 - 1.5 (Lint),5.8 - 7.5,C3,Fiber,Loamy,Subtropical,Moderate,25-35,Nitrogen (N),150-200,Spring,Mechanical harvest,High,"Bollworm (Heliothis), Aphids, Mites",Bacterial blight resistant,Fluffy white cotton bolls ready for picking
Soybean,"A major global source of protein and vegetable oil. As a legume, it fixes atmospheric nitrogen into the soil via root nodules, reducing the need for N fertilizer.",Glycine max,Fabaceae (Legume),USA/Brazil,0.5 - 1.5,2.5 - 4.0,6.0 - 7.0,C3,Legume,Loamy,Tropical/Subtropical,Moderate,20-30,Phosphorus (P) & Potassium (K),100-140,Spring,Mechanical harvest,High,"Soybean Aphid, Pod Borer, Cyst Nematode",Fungal resistant varieties,Green soybean pods on the plant
Onion,A bulb vegetable grown for flavor and rich in sulfur compounds. Requires high levels of light and a long day length for proper bulb formation.,Allium cepa,Amaryllidaceae (Amaryllis),India/China,0.3 - 0.5,20 - 40,6.0 - 7.5,C3,Vegetable,Sandy loam,Temperate,Moderate,14-25,Organic Fertilizer,90-120,Autumn,Manual harvest,Medium,"Onion Thrips, Onion Maggots, Cutworms","Fungal resistant varieties (e.g., Pink Root)",Onion bulbs with green shoots in a field
Sugarcane,A perennial grass grown for high sugar content in its stalks. The stalks are crushed to extract juice for sugar and ethanol. Ratooning (regrowth after harvest) is common.,Saccharum officinarum,Poaceae (Grass),Brazil/India,2.0 - 6.0,60 - 100+,6.0 - 8.0,C4,Cash crop,Clayey,Tropical,High,25-35,NPK (High N and K),300-500,Spring,Mechanical harvest,High,"White Grub, Sugarcane Borer, Termites",Ratoon disease tolerant,Tall stalks of sugarcane ready for harvest
